year;white;white_elo;black;black_elo;result;eco;moves
2024;Praggnanandhaa;2749;Gukesh;2766;Empate;E11;1.d4 d5 2.Nf3 Nf6 3.c4 e6 4.g3 Bb4+ 5.Bd2 Be7 6.Bg2 0-0 7.0-0 c6 8.Qc2 Nbd7
2024;Ding;2745;Gukesh;2766;Empate;C54;1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.0-0 Nf6 5.d3 d6 6.c3 a5 7.Re1 0-0 8.h3 Be6
2024;Fedoseev;2692;Gukesh;2764;Vitoria;D02;1.d4 Nf6 2.Bf4 d5 3.e3 c5 4.Nf3 Nc6 5.Nbd2 Bg4 6.c3 e6 7.Qa4 Nd7 8.Bb5 Qc8
2024;Gukesh;2766;Vachier Lagrave;2721;Empate;B90;1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.Bd3 e5 7.Nde2 Nc6 8.Be3 Be6
2024;Gukesh;2794;Mamedov;2643;Empate;D27;1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 e6 5.Bxc4 a6 6.0-0 c5 7.Be2 cxd4 8.Nxd4 Be7
2024;Gukesh;2763;Caruana;2796;Derrota;A04;1.e4 e5 2.Nf3 Nc6 3.g3 g6 4.Bg2 Bg7 5.0-0 Nge7 6.c4 d6 7.h3 0-0 8.Nc3 h6
2024;Caruana;2796;Gukesh;2763;Derrota;D27;1.c4 e6 2.Nc3 d5 3.d4 c5 4.e3 Nf6 5.Nf3 dxc4 6.Bxc4 a6 7.a4 Nc6 8.0-0 Be7
2024;Gukesh;2763;Caruana;2796;Derrota;D38;1.d4 Nf6 2.c4 e6 3.Nf3 d5 4.Nc3 Bb4 5.Qa4+ Nc6 6.e3 0-0 7.Bd2 dxc4 8.Bxc4 Bd6
2024;Nepomniachtchi;2770;Gukesh;2763;Empate;B33;1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Ndb5 d6 7.Bg5 a6 8.Na3 b5
2024;Gukesh;2763;Nepomniachtchi;2770;Derrota;B50;1.e4 c5 2.Nf3 d6 3.Bc4 Nf6 4.d3 e6 5.0-0 Be7 6.Nbd2 Nc6 7.c3 0-0 8.Re1 b6
2024;So;2757;Gukesh;2763;Derrota;B51;1.e4 c5 2.Nf3 Nc6 3.Bb5 d6 4.0-0 Bd7 5.Re1 Nf6 6.h3 a6 7.Bf1 Rg8 8.d3 h6
2024;Nepomniachtchi;2770;Gukesh;2763;Vitoria;B30;1.e4 c5 2.Nf3 Nc6 3.Nc3 Nf6 4.Bb5 Nd4 5.e5 Nxb5 6.Nxb5 Nd5 7.0-0 a6 8.c4 Nb4
2024;Gukesh;2763;So;2757;Vitoria;D00;1.d4 d5 2.Bf4 c5 3.e3 Nc6 4.c3 Nf6 5.Nd2 cxd4 6.exd4 Bf5 7.Qb3 Qc8 8.Ngf3 e6
2024;Predke;2671;Gukesh;2764;Vitoria;B13;1.e4 c6 2.d4 d5 3.exd5 cxd5 4.Bd3 Nc6 5.c3 Qc7 6.h3 Nf6 7.Nf3 g6 8.Na3 a6
2024;So;2757;Gukesh;2763;Derrota;B31;1.e4 c5 2.Nf3 Nc6 3.Bb5 g6 4.Bxc6 dxc6 5.d3 Qc7 6.a4 a5 7.e5 Nh6 8.0-0 Nf5
2024;Gukesh;2763;Giri;2745;Empate;D13;1.d4 d5 2.c4 c6 3.cxd5 cxd5 4.Nf3 Nf6 5.Nc3 Nc6 6.Bf4 Nh5 7.Bd2 e6 8.e3 Be7
2024;Caruana;2796;Gukesh;2763;Derrota;A20;1.c4 e5 2.d3 Nf6 3.Nf3 Nc6 4.a3 a5 5.e3 d5 6.cxd5 Nxd5 7.b3 Bd6 8.Bb2 0-0
2024;Gukesh;2763;Firouzja;2744;Vitoria;A37;1.Nf3 c5 2.g3 Nc6 3.Bg2 g6 4.0-0 Bg7 5.c4 d6 6.Nc3 Bf5 7.d3 Qd7 8.Be3 Bh3
2024;Giri;2745;Gukesh;2763;Derrota;D26;1.Nf3 d5 2.d4 Nf6 3.c4 dxc4 4.e3 e6 5.Bxc4 a6 6.0-0 Be7 7.Qe2 b5 8.Bd3 Nbd7
2024;Gukesh;2763;Caruana;2805;Empate;C50;1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.d3 d6 5.a4 a5 6.Nc3 h6 7.Be3 Bb4 8.0-0 Bxc3
2024;Firouzja;2744;Gukesh;2763;Empate;B51;1.e4 c5 2.Nf3 Nc6 3.Bb5 d6 4.0-0 Bd7 5.Re1 Nf6 6.c3 a6 7.Bf1 Bg4 8.h3 Bxf3
2024;Gukesh;2763;Giri;2745;Empate;B50;1.e4 c5 2.Nf3 d6 3.Bc4 Nf6 4.d3 e6 5.0-0 Be7 6.Re1 0-0 7.c3 a6 8.a4 Nc6
2024;Firouzja;2744;Gukesh;2763;Empate;B33;1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Ndb5 d6 7.Nd5 Nxd5 8.exd5 Nb8
2024;Gukesh;2763;Praggnanandhaa;2757;Vitoria;C26;1.e4 e5 2.Nf3 Nc6 3.d3 Nf6 4.g3 Bc5 5.Bg2 d6 6.0-0 0-0 7.Nc3 a5 8.h3 Re8
